,date,Average Temperature (deg F),location,fids
175,2020-04-22,37.0,Massachusetts,FIPS:25
176,2020-04-23,40.0,Massachusetts,FIPS:25
177,2020-04-24,42.0,Massachusetts,FIPS:25
178,2020-04-25,47.0,Massachusetts,FIPS:25
179,2020-04-26,45.0,Massachusetts,FIPS:25
180,2020-04-27,39.0,Massachusetts,FIPS:25
181,2020-04-28,41.5,Massachusetts,FIPS:25
182,2020-04-29,45.5,Massachusetts,FIPS:25
183,2020-04-30,44.5,Massachusetts,FIPS:25
184,2020-05-01,53.0,Massachusetts,FIPS:25
185,2020-05-02,56.0,Massachusetts,FIPS:25
186,2020-05-03,63.5,Massachusetts,FIPS:25
187,2020-05-04,61.5,Massachusetts,FIPS:25
188,2020-05-05,49.0,Massachusetts,FIPS:25
189,2020-05-06,47.0,Massachusetts,FIPS:25
190,2020-05-07,50.0,Massachusetts,FIPS:25
191,2020-05-08,49.5,Massachusetts,FIPS:25
192,2020-05-09,38.5,Massachusetts,FIPS:25
193,2020-05-10,43.0,Massachusetts,FIPS:25
194,2020-05-11,50.0,Massachusetts,FIPS:25
195,2020-05-12,46.0,Massachusetts,FIPS:25
196,2020-05-13,46.0,Massachusetts,FIPS:25
197,2020-05-14,55.0,Massachusetts,FIPS:25
198,2020-05-15,61.0,Massachusetts,FIPS:25
199,2020-05-16,63.0,Massachusetts,FIPS:25
200,2020-05-17,55.0,Massachusetts,FIPS:25
201,2020-05-18,56.0,Massachusetts,FIPS:25
202,2020-05-19,52.0,Massachusetts,FIPS:25
203,2020-05-20,52.5,Massachusetts,FIPS:25
204,2020-05-21,58.0,Massachusetts,FIPS:25
205,2020-05-22,65.5,Massachusetts,FIPS:25
206,2020-05-23,62.5,Massachusetts,FIPS:25
207,2020-05-24,51.0,Massachusetts,FIPS:25
208,2020-05-25,52.0,Massachusetts,FIPS:25
209,2020-05-26,62.0,Massachusetts,FIPS:25
210,2020-05-27,70.5,Massachusetts,FIPS:25
211,2020-05-28,69.5,Massachusetts,FIPS:25
212,2020-05-29,71.5,Massachusetts,FIPS:25
213,2020-05-30,71.0,Massachusetts,FIPS:25
214,2020-05-31,62.0,Massachusetts,FIPS:25
215,2020-06-01,53.5,Massachusetts,FIPS:25
216,2020-06-02,55.5,Massachusetts,FIPS:25
217,2020-06-03,65.5,Massachusetts,FIPS:25
218,2020-06-04,73.0,Massachusetts,FIPS:25
219,2020-06-05,71.5,Massachusetts,FIPS:25
220,2020-06-06,74.5,Massachusetts,FIPS:25
221,2020-06-07,62.0,Massachusetts,FIPS:25
222,2020-06-08,64.5,Massachusetts,FIPS:25
223,2020-06-09,67.0,Massachusetts,FIPS:25
224,2020-06-10,64.5,Massachusetts,FIPS:25
225,2020-06-11,67.0,Massachusetts,FIPS:25
226,2020-06-12,72.0,Massachusetts,FIPS:25
227,2020-06-13,63.5,Massachusetts,FIPS:25
228,2020-06-14,59.0,Massachusetts,FIPS:25
229,2020-06-15,59.5,Massachusetts,FIPS:25
230,2020-06-16,63.0,Massachusetts,FIPS:25
231,2020-06-17,65.5,Massachusetts,FIPS:25
232,2020-06-18,71.5,Massachusetts,FIPS:25
233,2020-06-19,75.0,Massachusetts,FIPS:25
234,2020-06-20,77.5,Massachusetts,FIPS:25
235,2020-06-21,78.0,Massachusetts,FIPS:25
236,2020-06-22,70.0,Massachusetts,FIPS:25
237,2020-06-23,74.0,Massachusetts,FIPS:25
238,2020-06-24,74.5,Massachusetts,FIPS:25
239,2020-06-25,74.0,Massachusetts,FIPS:25
240,2020-06-26,74.0,Massachusetts,FIPS:25
241,2020-06-27,72.0,Massachusetts,FIPS:25
242,2020-06-28,70.0,Massachusetts,FIPS:25
243,2020-06-29,67.0,Massachusetts,FIPS:25
244,2020-06-30,64.5,Massachusetts,FIPS:25
283,2020-03-10,58.0,Georgia,FIPS:GG
284,2020-03-11,56.5,Georgia,FIPS:GG
285,2020-03-12,55.5,Georgia,FIPS:GG
286,2020-03-13,54.375,Georgia,FIPS:GG
287,2020-03-14,51.85714285714285,Georgia,FIPS:GG
288,2020-03-15,54.5,Georgia,FIPS:GG
289,2020-03-16,40.5,Georgia,FIPS:GG
290,2020-03-17,34.0,Georgia,FIPS:GG
291,2020-03-18,35.375,Georgia,FIPS:GG
292,2020-03-19,43.375,Georgia,FIPS:GG
293,2020-03-20,44.75,Georgia,FIPS:GG
294,2020-03-21,45.5,Georgia,FIPS:GG
295,2020-03-22,47.625,Georgia,FIPS:GG
296,2020-03-23,51.125,Georgia,FIPS:GG
297,2020-03-24,52.25,Georgia,FIPS:GG
298,2020-03-25,53.375,Georgia,FIPS:GG
299,2020-03-26,53.25,Georgia,FIPS:GG
300,2020-03-27,55.5,Georgia,FIPS:GG
301,2020-03-28,56.25,Georgia,FIPS:GG
302,2020-03-29,51.75,Georgia,FIPS:GG
